SummitCode,RegionName,SummitName,AltM,AltFt,Latitude,Longitude,Points,BonusPoints,ActivationCount,ParcelOwner1,Region1,ParcelOwner2,Region2,ParcelOwner3,Region3,ManualAccess,ComputedAccess,RFNearby,Notes 1,ValidFrom,ValidTo,CurrentlyActive,FAYear,FAMonth,FADay,FADate,FACalls
W7W/CH-001,WA-Chelan,Bonanza Peak,2899,9511,48.2382,-120.8664,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,7,16,2022-07-16,KJ7RTO
W7W/CH-002,WA-Chelan,Mount Stuart,2870,9415,47.4751,-120.9022,10,3,7,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2018,8,5,2018-08-05,KI7TQJ
W7W/CH-003,WA-Chelan,Mount Fernow,2819,9249,48.1626,-120.8075,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,9,3,2022-09-03,KJ7RTO
W7W/CH-004,WA-Chelan,Goode Mountain,2810,9220,48.483,-120.9113,10,3,0,NPS,North Cascades NP,,,,,Open,Open,None,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-005,WA-Chelan,Mount Maude,2761,9060,48.1376,-120.8037,10,3,2,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2019,9,21,2019-09-21,KG7EJT
W7W/CH-006,WA-Chelan,Copper Peak,2732,8964,48.1749,-120.8035,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-007,WA-Chelan,Dragontail Peak,2701,8860,47.479,-120.833,10,3,5,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2014,5,29,2014-05-29,"KG7LLK,K7ATN"
W7W/CH-008,WA-Chelan,Colchuck Peak,2653,8705,47.4783,-120.8464,10,3,2,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,6,12,2022-06-12,KJ7RTO
W7W/CH-009,WA-Chelan,Star Peak,2649,8690,48.2507,-120.4284,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2021,9,25,2021-09-25,KJ7RTO
W7W/CH-010,WA-Chelan,Cannon Mountain,2633,8638,47.5026,-120.8024,10,3,3,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,6,21,2022-06-21,"KJ7RTO,KJ7LLS"
W7W/CH-011,WA-Chelan,Sherpa Pk,2623,8606,47.4717,-120.8886,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,30. Nov. 2016,FALSE,1899,12,30,,
W7W/CH-012,WA-Chelan,Clark Mountain,2622,8602,48.05,-120.9686,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-013,WA-Chelan,Cardinal Peak,2618,8590,48.1031,-120.6125,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2019,7,18,2019-07-18,KJ7DDK
W7W/CH-014,WA-Chelan,Buck Mountain,2599,8528,48.0936,-120.912,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-015,WA-Chelan,Enchantment Peaks (HP),2603,8540,47.4862,-120.8074,10,3,2,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,6,21,2022-06-21,"KJ7RTO,KJ7LLS"
W7W/CH-016,WA-Chelan,Storm King,2603,8540,48.4916,-120.9236,10,3,0,NPS,North Cascades NP,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-017,WA-Chelan,Reynolds Peak,2594,8512,48.3723,-120.5632,10,3,0,NPS,Lake Chelan NRA,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-018,WA-Chelan,Martin Peak,2594,8511,48.2417,-120.8158,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,7,17,2022-07-17,KJ7RTO
W7W/CH-019,WA-Chelan,Cashmere Mountain,2591,8501,47.5586,-120.8473,10,3,2,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2018,9,1,2018-09-01,WX7EMT
W7W/CH-020,WA-Chelan,Mount Bigelow,2579,8460,48.2182,-120.3541,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,8,28,2022-08-28,KJ7RTO
W7W/CH-021,WA-Chelan,Argonaut Peak,2576,8453,47.4702,-120.8613,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-022,WA-Chelan,Emerald Peak,2567,8422,48.1151,-120.629,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
